Jenjang;Fakultas;Tipe;Prodi;Jenis_Kelamin;Agama;Tanggal_Lulus;Lama_Studi;Periode_Wisuda;IPK;Jalur_Penerimaan;SPP;Level_UKT;Jenis_UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;08-02-2019;4 Tahun 7 Bulan;20183;3.32;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;04-09-2018;4 Tahun 2 Bulan;20181;3.38;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;04-09-2018;4 Tahun 2 Bulan;20181;3.38;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;04-09-2018;4 Tahun 2 Bulan;20181;3.38;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-05-2018;3 Tahun 10 Bulan;20174;3.26;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-05-2018;3 Tahun 10 Bulan;20174;3.26;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;24-05-2018;3 Tahun 10 Bulan;20174;3.26;SBMPTN;2100000;4;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.48;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.48;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;24-08-2018;4 Tahun 1 Bulan;20181;3.48;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;23-10-2018;4 Tahun 3 Bulan;20182;3.11;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
