Jenjang;Fakultas;Tipe;Prodi;Jenis_Kelamin;Agama;Tanggal_Lulus;Lama_Studi;Periode_Wisuda;IPK;Jalur_Penerimaan;SPP;Level_UKT;Jenis_UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;P;ISLAM;28-08-2014;8 Tahun 0 Bulan;20172;2.85;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;ISLAM;28-08-2014;8 Tahun 0 Bulan;20172;2.18;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;PROTESTAN;31-01-2018;10 Tahun 6 Bulan;20172;2.85;SBMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Ilmu Politik;L;ISLAM;30-04-2014;6 Tahun 9 Bulan;20184;2.74;PMP;NULL;0;Non UKT
S-1;KESEHATAN MASYARAKAT;Eksakta;Kesehatan Masyarakat;P;ISLAM;24-08-2018;11 Tahun 1 Bulan;20181;3.39;SBMPTN;NULL;0;Non UKT
S-1;PSIKOLOGI;Eksakta;Psikologi;L;ISLAM;05-12-2013;6 Tahun 5 Bulan;20183;2.84;SBMPTN;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Elektro;L;KATOLIK;23-07-2018;10 Tahun 0 Bulan;20174;2.94;Mandiri;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Industri;L;KATOLIK;26-07-2017;9 Tahun 0 Bulan;20171;2.55;Mandiri;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Industri;L;ISLAM;01-07-2016;8 Tahun 0 Bulan;20174;2.17;Lain-lain;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Ekonomi Pembangunan;P;PROTESTAN;21-09-2016;8 Tahun 1 Bulan;20171;2.01;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;KATOLIK;15-12-2017;9 Tahun 4 Bulan;20172;3;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;KATOLIK;31-01-2018;9 Tahun 5 Bulan;20172;3.1;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;PROTESTAN;31-01-2018;9 Tahun 5 Bulan;20172;2.75;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;PROTESTAN;26-09-2018;10 Tahun 1 Bulan;20183;2.67;SNMPTN;NULL;0;Non UKT
S-1;ILMU BUDAYA;Eksakta;Sastra Indonesia;L;ISLAM;10-03-2016;7 Tahun 8 Bulan;20174;3.44;Mandiri;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;L;PROTESTAN;02-10-2014;6 Tahun 2 Bulan;20203;2.77;SNMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Ilmu Politik;L;ISLAM;30-05-2014;5 Tahun 9 Bulan;20171;2.93;Mandiri;NULL;0;Non UKT
S-1;KESEHATAN MASYARAKAT;Eksakta;Kesehatan Masyarakat;P;ISLAM;08-03-2019;10 Tahun 7 Bulan;20183;2.36;PMP;NULL;0;Non UKT
S-1;ILMU KOMPUTER DAN TEKNOLOGI INFORMASI;Eksakta;Ilmu Komputer;L;PROTESTAN;03-08-2018;10 Tahun 7 Bulan;20182;3.37;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;30-10-2017;8 Tahun 3 Bulan;20171;2.56;PMP;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;P;BUDHA;09-02-2018;8 Tahun 7 Bulan;20172;3.08;SBMPTN;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;25-08-2017;8 Tahun 1 Bulan;20171;2.67;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;KATOLIK;21-11-2017;8 Tahun 4 Bulan;20172;2.68;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;P;PROTESTAN;07-02-2018;8 Tahun 7 Bulan;20172;2.33;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;25-08-2017;8 Tahun 1 Bulan;20171;2.54;Mandiri;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Elektro;L;PROTESTAN;02-08-2017;8 Tahun 2 Bulan;20171;2.55;SBMPTN;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Industri;L;ISLAM;12-10-2018;9 Tahun 4 Bulan;20181;2.77;PMP;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Sipil;L;PROTESTAN;18-10-2017;8 Tahun 4 Bulan;20171;2.73;SBMPTN;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Sipil;L;PROTESTAN;18-10-2017;8 Tahun 4 Bulan;20171;2.64;Mandiri;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Arsitektur;P;KATOLIK;03-03-2014;4 Tahun 9 Bulan;20171;3.31;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Ekonomi Pembangunan;L;PROTESTAN;19-05-2017;7 Tahun 9 Bulan;20171;2.25;SNMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;PROTESTAN;27-06-2019;9 Tahun 10 Bulan;20184;3.13;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;ISLAM;23-11-2017;8 Tahun 3 Bulan;20172;2.98;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;P;PROTESTAN;20-04-2018;8 Tahun 8 Bulan;20173;3.72;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;P;ISLAM;22-08-2017;8 Tahun 0 Bulan;20171;2.86;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;ISLAM;29-05-2019;9 Tahun 9 Bulan;20184;2.77;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;PROTESTAN;27-11-2019;10 Tahun 3 Bulan;20192;2.68;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Akuntansi;P;PROTESTAN;07-01-2019;9 Tahun 5 Bulan;20182;2.79;Mandiri;NULL;0;Non UKT
S-1;ILMU BUDAYA;Eksakta;Sastra Jepang;L;ISLAM;28-02-2017;7 Tahun 7 Bulan;20171;3.1;SBMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Antropologi Sosial;P;ISLAM;11-02-2016;6 Tahun 6 Bulan;20193;3.17;SBMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Ilmu Administrasi Bisnis;P;ISLAM;21-03-2016;6 Tahun 7 Bulan;20193;3.64;Lain-lain;NULL;0;Non UKT
S-1;KESEHATAN MASYARAKAT;Eksakta;Kesehatan Masyarakat;L;PROTESTAN;12-08-2019;10 Tahun 0 Bulan;20191;2.08;SBMPTN;NULL;0;Non UKT
S-1;KESEHATAN MASYARAKAT;Eksakta;Kesehatan Masyarakat;L;PROTESTAN;14-11-2017;8 Tahun 3 Bulan;20173;2.78;SBMPTN;NULL;0;Non UKT
S-1;KESEHATAN MASYARAKAT;Eksakta;Kesehatan Masyarakat;L;PROTESTAN;12-06-2017;7 Tahun 10 Bulan;20171;2.5;SBMPTN;NULL;0;Non UKT
S-1;ILMU KOMPUTER DAN TEKNOLOGI INFORMASI;Eksakta;Teknologi Informasi;L;KATOLIK;16-08-2017;8 Tahun 7 Bulan;20171;0;SBMPTN;NULL;0;Non UKT
S-1;ILMU KOMPUTER DAN TEKNOLOGI INFORMASI;Eksakta;Teknologi Informasi;L;ISLAM;16-08-2017;8 Tahun 7 Bulan;20172;0;Mandiri;NULL;0;Non UKT
S-1;FARMASI;Eksakta;Farmasi;L;PROTESTAN;26-04-2017;7 Tahun 4 Bulan;20182;2.49;SNMPTN;NULL;0;Non UKT
S-1;KEDOKTERAN;Eksakta;Pendidikan Dokter;L;ISLAM;12-02-2019;8 Tahun 7 Bulan;20183;1.14;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;08-02-2019;8 Tahun 7 Bulan;20183;2.66;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;KATOLIK;22-12-2017;7 Tahun 5 Bulan;20172;2.63;SBMPTN;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;25-08-2017;7 Tahun 1 Bulan;20171;3.29;SBMPTN;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;22-01-2019;8 Tahun 6 Bulan;20182;2.41;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;08-02-2019;8 Tahun 7 Bulan;20182;2.49;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;25-04-2018;7 Tahun 9 Bulan;20173;2.38;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;31-01-2018;7 Tahun 6 Bulan;20172;2.75;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;25-04-2018;7 Tahun 9 Bulan;20173;2.42;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;24-10-2018;8 Tahun 3 Bulan;20181;2.8;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;30-10-2017;7 Tahun 3 Bulan;20171;3.01;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;PROTESTAN;28-02-2019;8 Tahun 7 Bulan;20191;2.92;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;07-02-2019;8 Tahun 7 Bulan;20182;2.47;Mitra Dunia Usaha;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;15-07-2019;9 Tahun 0 Bulan;20184;2.33;Mandiri;NULL;0;Non UKT
S-1;HUKUM;Eksakta;Ilmu Hukum;L;ISLAM;30-10-2017;7 Tahun 3 Bulan;20171;2.71;Mandiri;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;ISLAM;16-08-2017;7 Tahun 1 Bulan;20171;NULL;PMP;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;ISLAM;29-09-2017;7 Tahun 2 Bulan;20172;NULL;PMP;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;P;ISLAM;24-08-2017;7 Tahun 1 Bulan;20171;NULL;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;ISLAM;02-08-2017;7 Tahun 1 Bulan;20171;NULL;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;KATOLIK;02-08-2017;7 Tahun 1 Bulan;20171;2.81;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;ISLAM;25-08-2017;7 Tahun 1 Bulan;20171;NULL;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;PROTESTAN;03-08-2017;7 Tahun 1 Bulan;20171;2.98;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;ISLAM;05-02-2018;7 Tahun 7 Bulan;20173;2.7;SNMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;PROTESTAN;02-10-2017;7 Tahun 3 Bulan;20173;NULL;SNMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;ISLAM;25-08-2017;7 Tahun 1 Bulan;20171;NULL;Mandiri;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;PROTESTAN;25-08-2017;7 Tahun 1 Bulan;20171;NULL;SNMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;PROTESTAN;06-10-2017;7 Tahun 3 Bulan;20173;NULL;SNMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agroteknologi;L;PROTESTAN;14-01-2020;9 Tahun 6 Bulan;20192;2.84;SNMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Manajemen Sumber Daya Perairan;L;ISLAM;25-08-2017;7 Tahun 1 Bulan;20172;2.9;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agribisnis;P;ISLAM;06-10-2017;7 Tahun 3 Bulan;20171;3.51;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agribisnis;L;LAINNYA;02-11-2017;7 Tahun 4 Bulan;20172;3.21;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agribisnis;L;PROTESTAN;23-10-2017;7 Tahun 3 Bulan;20171;3.16;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agribisnis;L;ISLAM;06-10-2017;7 Tahun 3 Bulan;20171;2.95;Mandiri;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agribisnis;L;PROTESTAN;22-08-2017;7 Tahun 1 Bulan;20171;2.91;SNMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agribisnis;L;ISLAM;29-09-2017;7 Tahun 2 Bulan;20171;3.44;SNMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agribisnis;L;ISLAM;06-10-2017;7 Tahun 3 Bulan;20171;2.88;Mandiri;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Agribisnis;L;ISLAM;07-08-2017;7 Tahun 1 Bulan;20171;2.83;Mandiri;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Ilmu dan Teknologi Pangan;L;ISLAM;18-09-2017;7 Tahun 2 Bulan;20171;2.95;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Ilmu dan Teknologi Pangan;L;ISLAM;18-09-2017;7 Tahun 2 Bulan;20171;2.5;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Ilmu dan Teknologi Pangan;L;PROTESTAN;29-09-2017;7 Tahun 2 Bulan;20171;2.49;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Ilmu dan Teknologi Pangan;L;PROTESTAN;27-09-2017;7 Tahun 2 Bulan;20171;2.71;SNMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Ilmu dan Teknologi Pangan;P;PROTESTAN;26-09-2017;7 Tahun 2 Bulan;20171;2.71;SNMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Peternakan;L;ISLAM;25-08-2017;7 Tahun 1 Bulan;20171;2.78;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Peternakan;L;PROTESTAN;22-08-2017;7 Tahun 1 Bulan;20171;3.01;SBMPTN;NULL;0;Non UKT
S-1;PERTANIAN;Eksakta;Peternakan;L;PROTESTAN;22-08-2017;7 Tahun 1 Bulan;20171;2.73;SNMPTN;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Elektro;L;BUDHA;15-12-2017;7 Tahun 5 Bulan;20173;2.95;SBMPTN;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Elektro;L;PROTESTAN;20-12-2017;7 Tahun 5 Bulan;20174;2.97;SBMPTN;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Elektro;L;PROTESTAN;17-05-2018;7 Tahun 10 Bulan;20174;2.94;SBMPTN;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Elektro;L;PROTESTAN;27-12-2017;7 Tahun 5 Bulan;20172;2.77;Mitra Dunia Usaha;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Industri;L;PROTESTAN;18-10-2017;7 Tahun 3 Bulan;20171;2.7;PMP;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Sipil;L;PROTESTAN;07-02-2018;7 Tahun 7 Bulan;20173;2.67;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Sipil;L;KATOLIK;09-05-2018;7 Tahun 10 Bulan;20174;2.88;SBMPTN;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Sipil;L;PROTESTAN;07-02-2018;7 Tahun 7 Bulan;20173;2.77;SBMPTN;NULL;0;Non UKT
S-1;TEKNIK;Eksakta;Teknik Kimia;L;ISLAM;20-12-2017;7 Tahun 5 Bulan;20172;2.8;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;P;PROTESTAN;28-02-2019;8 Tahun 7 Bulan;20183;3.3;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;PROTESTAN;16-08-2017;7 Tahun 1 Bulan;20171;3.45;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;PROTESTAN;23-08-2017;7 Tahun 1 Bulan;20171;3;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;P;PROTESTAN;09-02-2017;6 Tahun 7 Bulan;20174;3.38;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;ISLAM;04-10-2017;7 Tahun 3 Bulan;20171;3.21;SNMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;PROTESTAN;07-08-2017;7 Tahun 1 Bulan;20171;2.73;SNMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;ISLAM;17-05-2018;7 Tahun 10 Bulan;20174;2.88;Mandiri;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;L;ISLAM;14-08-2019;9 Tahun 1 Bulan;20191;2.69;Mitra Dunia Usaha;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Manajemen;P;ISLAM;08-02-2018;7 Tahun 7 Bulan;20172;3.21;klas int;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Akuntansi;P;ISLAM;03-08-2017;7 Tahun 1 Bulan;20171;2.88;PMP;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Akuntansi;L;ISLAM;16-08-2018;8 Tahun 1 Bulan;20181;2.77;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Akuntansi;L;ISLAM;13-11-2017;7 Tahun 4 Bulan;20172;2.8;SBMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Akuntansi;L;ISLAM;20-12-2019;9 Tahun 5 Bulan;20192;2.78;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Akuntansi;P;ISLAM;07-02-2019;8 Tahun 7 Bulan;20182;2.8;SNMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Akuntansi;L;ISLAM;29-01-2019;8 Tahun 6 Bulan;20184;2.71;SNMPTN;NULL;0;Non UKT
S-1;EKONOMI DAN BISNIS;Eksakta;Akuntansi;L;ISLAM;07-02-2019;8 Tahun 7 Bulan;20182;3.05;klas int;NULL;0;Non UKT
S-1;KEDOKTERAN GIGI;Eksakta;Sarjana Kedokteran Gigi;L;KATOLIK;30-01-2020;9 Tahun 5 Bulan;20193;2.9;SBMPTN;NULL;0;Non UKT
S-1;KEDOKTERAN GIGI;Eksakta;Sarjana Kedokteran Gigi;P;PROTESTAN;03-10-2017;7 Tahun 2 Bulan;20171;2.74;SNMPTN;NULL;0;Non UKT
S-1;KEDOKTERAN GIGI;Eksakta;Sarjana Kedokteran Gigi;P;ISLAM;25-07-2018;7 Tahun 11 Bulan;20174;2.24;Mandiri;NULL;0;Non UKT
S-1;KEDOKTERAN GIGI;Eksakta;Sarjana Kedokteran Gigi;L;ISLAM;22-09-2017;7 Tahun 1 Bulan;20171;1.74;Mandiri;NULL;0;Non UKT
S-1;KEDOKTERAN GIGI;Eksakta;Sarjana Kedokteran Gigi;P;ISLAM;21-08-2017;7 Tahun 0 Bulan;20171;2.38;Mandiri;NULL;0;Non UKT
S-1;KEDOKTERAN GIGI;Eksakta;Sarjana Kedokteran Gigi;L;ISLAM;31-10-2017;7 Tahun 2 Bulan;20171;2.1;SNMPTN;NULL;0;Non UKT
S-1;KEDOKTERAN GIGI;Eksakta;Sarjana Kedokteran Gigi;P;PROTESTAN;16-06-2020;9 Tahun 10 Bulan;20193;2.54;Mandiri;NULL;0;Non UKT
S-1;ILMU BUDAYA;Eksakta;Sastra Arab;L;ISLAM;27-10-2017;7 Tahun 3 Bulan;20171;2.85;SNMPTN;NULL;0;Non UKT
S-1;ILMU BUDAYA;Eksakta;Ilmu Sejarah;L;PROTESTAN;07-08-2017;7 Tahun 1 Bulan;20171;2.94;SBMPTN;NULL;0;Non UKT
S-1;ILMU BUDAYA;Eksakta;Ilmu Sejarah;L;PROTESTAN;07-08-2017;7 Tahun 1 Bulan;20171;2.84;SNMPTN;NULL;0;Non UKT
S-1;ILMU BUDAYA;Eksakta;Perpustakaan dan Sains Informasi;L;PROTESTAN;25-01-2018;7 Tahun 6 Bulan;20172;2.73;SNMPTN;NULL;0;Non UKT
S-1;ILMU BUDAYA;Eksakta;Perpustakaan dan Sains Informasi;L;PROTESTAN;14-08-2017;7 Tahun 1 Bulan;20171;2.64;SNMPTN;NULL;0;Non UKT
S-1;ILMU BUDAYA;Eksakta;Perpustakaan dan Sains Informasi;P;ISLAM;24-08-2017;7 Tahun 1 Bulan;20172;2.84;SNMPTN;NULL;0;Non UKT
S-1;ILMU BUDAYA;Eksakta;Perpustakaan dan Sains Informasi;P;ISLAM;11-01-2018;7 Tahun 6 Bulan;20172;3.05;SNMPTN;NULL;0;Non UKT
S-1;MATEMATIKA DAN ILMU PENGETAHUAN ALAM;Eksakta;Kimia;P;PROTESTAN;12-07-2018;8 Tahun 0 Bulan;20174;2.93;SBMPTN;NULL;0;Non UKT
S-1;MATEMATIKA DAN ILMU PENGETAHUAN ALAM;Eksakta;Kimia;P;PROTESTAN;12-07-2018;8 Tahun 0 Bulan;20174;2.93;SBMPTN;NULL;0;Non UKT
S-1;MATEMATIKA DAN ILMU PENGETAHUAN ALAM;Eksakta;Kimia;P;PROTESTAN;12-07-2018;8 Tahun 0 Bulan;20174;2.93;SBMPTN;NULL;0;Non UKT
S-1;MATEMATIKA DAN ILMU PENGETAHUAN ALAM;Eksakta;Kimia;L;PROTESTAN;25-10-2017;7 Tahun 3 Bulan;20171;3.04;SNMPTN;NULL;0;Non UKT
S-1;MATEMATIKA DAN ILMU PENGETAHUAN ALAM;Eksakta;Kimia;L;PROTESTAN;25-10-2017;7 Tahun 3 Bulan;20171;3.04;SNMPTN;NULL;0;Non UKT
S-1;MATEMATIKA DAN ILMU PENGETAHUAN ALAM;Eksakta;Kimia;L;PROTESTAN;25-10-2017;7 Tahun 3 Bulan;20171;3.04;SNMPTN;NULL;0;Non UKT
S-1;MATEMATIKA DAN ILMU PENGETAHUAN ALAM;Eksakta;Biologi;L;ISLAM;09-08-2017;7 Tahun 1 Bulan;20171;3.14;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;MATEMATIKA DAN ILMU PENGETAHUAN ALAM;Eksakta;Biologi;L;ISLAM;09-08-2017;7 Tahun 1 Bulan;20171;3.14;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;MATEMATIKA DAN ILMU PENGETAHUAN ALAM;Eksakta;Biologi;L;ISLAM;09-08-2017;7 Tahun 1 Bulan;20171;3.14;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;L;ISLAM;25-08-2017;7 Tahun 0 Bulan;20171;2.86;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;P;ISLAM;10-02-2017;6 Tahun 6 Bulan;20171;3.35;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;P;ISLAM;18-08-2017;7 Tahun 0 Bulan;20171;3.27;PMP;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;L;ISLAM;23-08-2017;7 Tahun 0 Bulan;20172;3.03;SBMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;L;ISLAM;24-08-2017;7 Tahun 0 Bulan;20181;2.94;SBMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;L;ISLAM;05-12-2016;6 Tahun 4 Bulan;20171;3.23;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;L;ISLAM;24-08-2017;7 Tahun 0 Bulan;20181;3.27;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;L;PROTESTAN;09-02-2017;6 Tahun 6 Bulan;20171;3.25;SBMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;L;PROTESTAN;16-01-2017;6 Tahun 5 Bulan;20171;3.19;SNMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;L;PROTESTAN;10-04-2017;6 Tahun 8 Bulan;20193;2.94;SNMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;P;ISLAM;24-08-2017;7 Tahun 0 Bulan;20181;2.84;SNMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Sosiologi;P;PROTESTAN;17-10-2017;7 Tahun 2 Bulan;20171;3.44;SNMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Ilmu Kesejahteraan Sosial;L;ISLAM;25-08-2017;7 Tahun 0 Bulan;20172;2.9;SBMPTN (BIDIK MISI);NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Ilmu Administrasi Publik;L;ISLAM;24-08-2017;7 Tahun 0 Bulan;20172;3.16;SBMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Ilmu Administrasi Publik;L;PROTESTAN;07-12-2017;7 Tahun 4 Bulan;20172;3.08;SBMPTN;NULL;0;Non UKT
S-1;ILMU SOSIAL DAN ILMU POLITIK;Eksakta;Ilmu Administrasi Publik;L;ISLAM;27-04-2017;6 Tahun 8 Bulan;20172;2.58;Mandiri;NULL;0;Non UKT
